	CuBa-Cu-air		CuBa-Cu-400mA		Cu foil
8977.78	0.323473287	8977.78	0.344446753	8993.3909	1.3118184
8978.08	0.325812114	8978.08	0.34891719	8993.7972	1.3088018
8978.38	0.328679153	8978.38	0.354861585	8994.1843	1.3020996
8978.68	0.330695698	8978.68	0.363149988	8994.5907	1.29201667
8978.98	0.332339474	8978.98	0.373466819	8994.9971	1.2803562
8979.28	0.333745781	8979.28	0.386460569	8995.3842	1.26842115
8979.58	0.334487132	8979.58	0.40436044	8995.7908	1.25621424
8979.88	0.333230704	8979.88	0.42921315	8996.1973	1.24514907
8980.18	0.33430222	8980.18	0.46184919	8996.5845	1.23584497
8980.48	0.334476201	8980.48	0.50038804	8996.9912	1.2281711
8980.78	0.335690119	8980.78	0.53487195	8997.3978	1.22311619
8981.08	0.338952007	8981.08	0.56864958	8997.7852	1.22099682
8981.38	0.340562575	8981.38	0.59578817	8998.1919	1.22182827
8981.68	0.345487287	8981.68	0.61927843	8998.5987	1.22603953
8981.98	0.350374022	8981.98	0.63137986	8998.9862	1.2331148
8982.28	0.355444224	8982.28	0.6382331	8999.393	1.24363691
8982.58	0.361911783	8982.58	0.64684196	8999.7999	1.25671788
8982.88	0.369580423	8982.88	0.64912685	9000.1874	1.27094627
8983.18	0.375470995	8983.18	0.65275259	9000.5944	1.28688414
8983.48	0.382965887	8983.48	0.64405231	9000.982	1.3016529
8983.78	0.389037394	8983.78	0.64565633	9001.3891	1.3151408
8984.08	0.40008343	8984.08	0.64527907	9001.7962	1.3255752
8984.38	0.41119229	8984.38	0.65187851	9002.1839	1.3316813
8984.68	0.42830814	8984.68	0.65534292	9002.591	1.3335635
8984.98	0.44779254	8984.98	0.6650901	9002.9982	1.3308208
8985.28	0.47210079	8985.28	0.68210526	9003.386	1.3245857
8985.58	0.5034534	8985.58	0.70451237	9003.7933	1.3152738
8985.88	0.5408062	8985.88	0.726424	9004.1812	1.3046255
8986.18	0.58006147	8986.18	0.74519892	9004.5885	1.29246718
8986.48	0.61972163	8986.48	0.77149847	9004.9959	1.28058359
8986.78	0.66154842	8986.78	0.79466367	9005.3839	1.2697132
8987.08	0.70182977	8987.08	0.8164586	9005.7914	1.25927213
8987.38	0.73867172	8987.38	0.83288531	9006.1989	1.249825
8987.68	0.77003634	8987.68	0.85287066	9006.587	1.2416006
8987.98	0.79715059	8987.98	0.8704127	9006.9945	1.23355288
8988.28	0.81865262	8988.28	0.88636887	9007.3827	1.22606393
8988.58	0.83469488	8988.58	0.89871909	9007.7904	1.2186971
8988.88	0.85018374	8988.88	0.91008188	9008.198	1.21134839
8989.18	0.86435324	8989.18	0.92622362	9008.5863	1.20479844
8989.48	0.87428004	8989.48	0.94353048	9008.9941	1.19858216
8989.78	0.89049633	8989.78	0.96086156	9009.3824	1.19345192
8990.08	0.90866138	8990.08	0.9767968	9009.7902	1.18895864
8990.38	0.93203583	8990.38	0.99995983	9010.1981	1.18582915
8990.68	0.95569654	8990.68	1.02592599	9010.5866	1.183961
8990.98	0.98386696	8990.98	1.05394915	9010.9945	1.18312721
8991.28	1.01831719	8991.28	1.08018706	9011.383	1.18333102
8991.58	1.057048	8991.58	1.10735469	9011.791	1.18423918
8991.88	1.09684222	8991.88	1.14042818	9012.1991	1.18575447
8992.18	1.14086233	8992.18	1.17542306	9012.5877	1.18773105
8992.48	1.18583421	8992.48	1.207455	9012.9958	1.19023404
8992.78	1.23439293	8992.78	1.23587743	9013.3846	1.19295872
8993.08	1.28215863	8993.08	1.26533188	9013.7928	1.19622775
8993.38	1.3287113	8993.38	1.29213437	9014.1815	1.19964916
8993.68	1.372234	8993.68	1.3205461	9014.5898	1.20392075
8993.98	1.4083529	8993.98	1.3427282	9014.9981	1.20869631
8994.28	1.4441612	8994.28	1.3583995	9015.387	1.2136587
8994.58	1.4757606	8994.58	1.3720748	9015.7954	1.2193563
8994.88	1.5016051	8994.88	1.3868103	9016.1843	1.22537527
8995.18	1.5267794	8995.18	1.3996064	9016.5928	1.2319678
8995.48	1.5486761	8995.48	1.4054359	9016.9818	1.23856577
8995.78	1.5686758	8995.78	1.4086258	9017.3904	1.24560736
8996.08	1.5898496	8996.08	1.4096247	9017.7989	1.25278771
8996.38	1.606717	8996.38	1.4164536	9018.1881	1.25955231
8996.68	1.6254091	8996.68	1.4216027	9018.5967	1.26654564
8996.98	1.6442089	8996.98	1.4214948	9018.9859	1.27317071
8997.28	1.6621481	8997.28	1.4181164	9019.3946	1.27992644
8997.58	1.6788275	8997.58	1.4230748	9019.7839	1.28629065
8997.88	1.6920595	8997.88	1.4333216	9020.1927	1.29280763
8998.18	1.701893	8998.18	1.4348951	9020.582	1.29886595
8998.48	1.7089589	8998.48	1.4337358	9020.9909	1.3052605
8998.78	1.7105301	8998.78	1.4281894	9021.3998	1.3116721
8999.08	1.7094855	8999.08	1.4325579	9021.7892	1.317395
8999.38	1.7038215	8999.38	1.4277992	9022.1982	1.3233832
8999.68	1.6895232	8999.68	1.4234293	9022.5878	1.3285838
8999.98	1.6732492	8999.98	1.4103421	9022.9968	1.3336838
9000.28	1.6540495	9000.28	1.4022994	9023.3864	1.3381027
9000.58	1.635681	9000.58	1.3920456	9023.7955	1.341843
9000.88	1.6172127	9000.88	1.3885342	9024.1852	1.3447944
9001.18	1.5965592	9001.18	1.3860563	9024.5944	1.3468522
9001.48	1.5779981	9001.48	1.3773577	9024.9841	1.347649
9001.78	1.5633485	9001.78	1.3732815	9025.3934	1.3472627
9002.08	1.5494038	9002.08	1.3712584	9025.7832	1.3457989
9002.38	1.5371648	9002.38	1.3791442	9026.1926	1.3431114
9002.68	1.5222013	9002.68	1.3783678	9026.5824	1.3395237
9002.98	1.5087823	9002.98	1.3772095	9026.9919	1.3349697
9003.28	1.4976314	9003.28	1.3756399	9027.3818	1.3299375
9003.58	1.4869352	9003.58	1.3780514	9027.7913	1.3240408
9003.88	1.4771297	9003.88	1.3812265	9028.1813	1.3179679
9004.18	1.4637208	9004.18	1.3751672	9028.5909	1.3112989
9004.48	1.4511173	9004.48	1.3703357	9028.981	1.3047649
9004.78	1.4412175	9004.78	1.3645204	9030.6588	1.27689359
9005.08	1.426337	9005.08	1.3595871	9032.3568	1.25411438
9005.38	1.4145196	9005.38	1.3508952	9034.0749	1.24045195
9005.68	1.4020496	9005.68	1.3416217	9035.8328	1.23516099
9005.98	1.3884788	9005.98	1.3317871	9037.611	1.23747939
9006.28	1.3750414	9006.28	1.3229956	9039.4289	1.24532236
9006.58	1.3627675	9006.58	1.3141741	9041.2476	1.25267284
9006.88	1.3515699	9006.88	1.3059829	9043.1258	1.2541945
9007.18	1.3401971	9007.18	1.29828073	9045.0048	1.25247013
9007.48	1.3316189	9007.48	1.29103663	9046.9237	1.25636561
9007.78	1.3259407	9007.78	1.28545677	9048.8631	1.26607175
9008.08	1.3226112	9008.08	1.27923881	9050.8425	1.27418782
9008.38	1.3192034	9008.38	1.27486773	9052.8424	1.27654676
9008.68	1.3180895	9008.68	1.274238	9054.8629	1.27966744
9008.98	1.3168595	9008.98	1.27067282	9056.9235	1.28932511
9009.28	1.3194977	9009.28	1.27012852	9059.0048	1.3030422
9009.58	1.3189085	9009.58	1.26652499	9061.1066	1.3145156
9009.88	1.3210262	9009.88	1.26556486	9063.2488	1.3233545
9010.18	1.3222296	9010.18	1.2636739	9065.4117	1.3330736
9010.48	1.3223346	9010.48	1.26272406	9067.5953	1.3459664
9010.9589	1.3254419	9010.9589	1.26064003	9069.8194	1.3589652
9011.7955	1.3241339	9011.7955	1.25751825	9072.0643	1.3641803
9012.8111	1.3192676	9012.8111	1.25292602	9074.3497	1.3570646
9013.8626	1.3047929	9013.8626	1.24758727	9076.6364	1.3399348
9014.9987	1.28588646	9014.9987	1.24403906	9078.9636	1.3184382
9016.1538	1.26849404	9016.1538	1.2398392	9081.3316	1.29984134
9017.328	1.25229755	9017.328	1.23888008	9083.7008	1.28406203
9018.5212	1.23340927	9018.5212	1.24159741	9086.1108	1.27310427
9019.7334	1.21523654	9019.7334	1.2452733	9088.5617	1.26755828
9020.9645	1.1965869	9020.9645	1.24872137	9091.0139	1.25758822
9022.2148	1.18309374	9022.2148	1.25295004	9093.5071	1.24146116
9023.484	1.1728011	9023.484	1.26149419	9096.0413	1.22748313
9024.7722	1.16720181	9024.7722	1.26720828	9098.5769	1.22372083
9026.0794	1.16605782	9026.0794	1.27001288	9101.1536	1.23177354
9027.4057	1.170978	9027.4057	1.27463681	9103.7517	1.2480605
9028.751	1.1806774	9028.751	1.2733296	9106.3909	1.26686248
9030.1152	1.19110411	9030.1152	1.2701925	9109.0516	1.28231581
9031.4985	1.20370702	9031.4985	1.26099509	9111.7338	1.29262118
9032.9008	1.2190532	9032.9008	1.25624326	9114.4375	1.2970878
9034.3221	1.23890738	9034.3221	1.25615182	9117.1826	1.29858276
9035.7624	1.25889915	9035.7624	1.25752399	9119.9493	1.2994388
9037.2218	1.27647073	9037.2218	1.26102386	9122.7576	1.305391
9038.7001	1.2936275	9038.7001	1.2677499	9125.5677	1.3235776
9040.1975	1.3087684	9040.1975	1.27681379	9128.4194	1.3519904
9041.7138	1.3218566	9041.7138	1.28418567	9131.293	1.3779265
9043.2492	1.3303264	9043.2492	1.28830238	9134.2083	1.388039
9044.8036	1.3414963	9044.8036	1.29156653	9137.1255	1.3847853
9046.377	1.3464726	9046.377	1.29330795	9140.0847	1.3758148
9047.9694	1.351509	9047.9694	1.29801318	9143.0858	1.3619312
9049.5808	1.358315	9049.5808	1.3028516	9146.089	1.3413889
9051.2113	1.3634332	9051.2113	1.3095313	9149.1343	1.3144551
9052.8607	1.3674231	9052.8607	1.3129796	9152.2017	1.28500316
9054.5292	1.3686118	9054.5292	1.3161877	9155.2912	1.25533016
9056.2166	1.3693124	9056.2166	1.3178118	9158.4231	1.23104526
9057.9231	1.3713505	9057.9231	1.3224522	9161.5773	1.22080795
9059.6486	1.3714241	9059.6486	1.3289034	9164.7538	1.22904937
9061.3931	1.370911	9061.3931	1.3331398	9167.9527	1.2517905
9063.1566	1.366905	9063.1566	1.3381826	9171.1942	1.27884382
9064.9391	1.3629227	9064.9391	1.3393114	9174.4581	1.29912673
9066.7407	1.3574401	9066.7407	1.3428104	9177.7446	1.3092364
9068.5612	1.3513892	9068.5612	1.3445332	9181.0538	1.3113438
9070.4008	1.3444161	9070.4008	1.3483687	9184.4057	1.3087822
9072.2594	1.3331318	9072.2594	1.3492309	9187.7804	1.3070456
9074.1369	1.3221675	9074.1369	1.3457805	9191.1779	1.3067819
9076.0335	1.3154172	9076.0335	1.3375054	9194.5982	1.3047719
9077.9491	1.3073757	9077.9491	1.3278311	9198.0413	1.301451
9079.8838	1.29991126	9079.8838	1.3169412	9201.5276	1.3045151
9081.8374	1.29241533	9081.8374	1.3056009	9205.037	1.3194921
9083.81	1.28665491	9083.81	1.29353769	9208.5694	1.3381272
9085.8017	1.28160369	9085.8017	1.28635794	9212.1452	1.3475177
9087.8123	1.28013763	9087.8123	1.28136806	9215.7239	1.3483138
9089.842	1.27767496	9089.842	1.27820546	9219.3461	1.3444793
9091.8907	1.27657965	9091.8907	1.27275771	9222.9916	1.3352933
